2025/09/21 19:10:04.617  ,Data., 0: ProcReturn/1: CacheReturn, AplID, SFCID, prefix, Proc.Time, fromSFID, R_ID->, toSFID@R/N+ID, Hop, ComTime, DataSize, @Host, @VM, @vCPU, BW, #ofSharedConnection, TimeStamp
2025/09/21 19:10:04.628  ,Int., 0:Interest/1:CacheHit, AplID, SFCID, prefix, fromSFID@R_ID, toSFID, <-R/N+ID, Hop, Duration, @Host, @VM, @vCPU, TimeStamp
2025/09/21 19:10:20.655  ,Data.,0,0,2,/2/6/11/,2088,6,R22->,11@R27,1,118,374,2^2,2^2^0,2^2^0^0^0,-,-,1758449420655
2025/09/21 19:10:20.656  ,Data.,0,0,2,/2/6/11/,2088,6,R22->,11@R27,1,118,374,2^2,2^2^0,2^2^0^0^0,-,-,1758449420655
2025/09/21 19:10:20.767  ,Data.,0,0,2,/2/6/11/,2088,6,R22->,11@R27,1,228,374,2^2,2^2^0,2^2^0^0^0,-,-,1758449420765
2025/09/21 19:10:20.847  ,Data.,0,0,2,/2/2/3/,2049,2,R22->,3@R76,1,8064,376,9^0,9^0^0,9^0^0^0^0,-,-,1758449420847
2025/09/21 19:10:20.865  ,Data.,0,0,2,/2/5/7/,2261,5,R76->,7@R27,1,103,422,2^2,2^2^0,2^2^0^0^0,-,-,1758449420865
2025/09/21 19:10:22.386  ,Data.,0,0,2,/2/8/13/,1657,8,R22->,13@R27,1,55,436,2^2,2^2^0,2^2^0^0^0,-,-,1758449422386
2025/09/21 19:10:22.387  ,Data.,0,0,2,/2/8/13/,1657,8,R22->,13@R27,1,55,436,2^2,2^2^0,2^2^0^0^0,-,-,1758449422386
2025/09/21 19:10:22.487  ,Data.,0,0,2,/2/8/13/,1657,8,R22->,13@R27,1,155,436,2^2,2^2^0,2^2^0^0^0,-,-,1758449422486
2025/09/21 19:10:22.604  ,Data.,0,0,2,/2/8/11/,1657,8,R22->,11@R27,1,236,510,2^2,2^2^0,2^2^0^0^0,-,-,1758449422603
2025/09/21 19:10:23.328  ,Data.,0,0,2,/2/2/5/,2049,2,R22->,5@R76,1,10489,517,9^0,9^0^0,9^0^0^0^0,-,-,1758449423328
2025/09/21 19:10:24.695  ,Data.,0,0,2,/2/8/11/,1657,8,R22->,11@R27,1,2326,510,2^2,2^2^0,2^2^0^0^0,-,-,1758449424693
2025/09/21 19:10:24.772  ,Data.,0,0,2,/2/5/10/,2261,5,R76->,10@R76,1,4029,581,9^0,9^0^0,9^0^0^0^0,-,-,1758449424772
2025/09/21 19:10:24.796  ,Data.,0,0,2,/2/8/11/,1657,8,R22->,11@R27,1,2429,510,2^2,2^2^0,2^2^0^0^0,-,-,1758449424796
2025/09/21 19:10:24.893  ,Data.,0,0,2,/2/8/10/,1657,8,R22->,10@R76,1,2544,446,9^0,9^0^0,9^0^0^0^0,-,-,1758449424892
2025/09/21 19:10:24.897  ,Data.,0,0,2,/2/7/12/,3759,7,R27->,12@R27,1,208,432,2^2,2^2^0,2^2^0^0^0,-,-,1758449424897
2025/09/21 19:10:24.997  ,Data.,0,0,2,/2/7/9/,3759,7,R27->,9@R27,1,290,675,2^2,2^2^0,2^2^0^0^0,-,-,1758449424997
2025/09/21 19:10:27.015  ,Data.,0,0,2,/2/11/16/,2067,11,R27->,16@R27,1,105,448,2^2,2^2^0,2^2^0^0^0,-,-,1758449427010
2025/09/21 19:10:27.083  ,Data.,0,0,2,/2/8/10/,1657,8,R22->,10@R76,1,4735,446,9^0,9^0^0,9^0^0^0^0,-,-,1758449427083
